id_review,nama_produk,nama_pelanggan,email_pelanggan,bintang,ulasan,tanggal_review
193,Fork End,Fani Wijayanti,fani.w@yahoo.com,5,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-05-21
194,Fork End,Irma Susanti,irma.s@outlook.com,3,"Biasa saja, tapi harga terjangkau jadi tidak terlalu kecewa.",2024-09-16
195,Fork End,Vino Pratama,vino.p@hotmail.com,3,"Tidak buruk, tidak terlalu bagus. Cukup untuk kebutuhan.",2024-10-27
196,Fork End,Kiki Rahmat,kiki.r@outlook.com,1,Kualitas jauh di bawah harga yang dipatok. Menyesal beli.,2024-08-16
197,Fork End,Elsa Purnama,elsa.p@hotmail.com,4,"Material berkualitas tinggi, pemasangan mudah. Sangat memuaskan.",2024-10-05
198,Fork End,Kevin Pratama,kevin.p@hotmail.com,4,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-12-23
199,Fork End,Rafi Aldiansyah,rafi.a@yahoo.com,4,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-07-29
200,Fork End,Indah Permata,indah.p@outlook.com,5,"Sudah lama cari produk seperti ini, akhirnya ketemu yang tepat.",2024-07-14
201,Freewheel,Lisa Maharani,lisa.m@yahoo.com,1,Kualitas kontrol perlu ditingkatkan. Produk cacat saat datang.,2024-01-19
202,Freewheel,Doni Firmansyah,doni.f@hotmail.com,4,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-08-13
203,Freewheel,Taufik Hidayat,taufik.h@outlook.com,4,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-03-14
204,Freewheel,Omar Siddiq,omar.s@yahoo.com,2,Produk cepat rusak setelah pemakaian singkat. Tidak recommended.,2024-08-28
205,Freewheel,Ulfa Rohmah,ulfa.r@outlook.com,5,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-02-11
206,Freewheel,Evi Susanti,evi.s@outlook.com,2,"Tidak tahan lama, baru dipakai beberapa kali sudah rusak.",2024-11-16
207,Freewheel,Bella Anggraini,bella.a@outlook.com,2,"Kecewa dengan kualitasnya, tidak sesuai ekspektasi sama sekali.",2024-11-12
208,Freewheel,Hendra Wijaya,hendra.w@hotmail.com,5,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-02-16
209,Freewheel,Rio Fernanda,rio.f@gmail.com,1,Kualitas kontrol perlu ditingkatkan. Produk cacat saat datang.,2024-03-26
210,Freewheel,Yola Safitri,yola.s@gmail.com,5,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-06-15
211,Flat Washer 1,Lina Susanti,lina.s@hotmail.com,5,Tidak menyesal beli produk ini. Kualitasnya jauh melebihi ekspektasi.,2024-03-15
212,Flat Washer 1,Salsa Nabila,salsa.n@yahoo.com,4,"Kualitas premium, material terasa solid dan tahan lama. Recommended!",2024-03-30
213,Flat Washer 1,Rizki Hamdani,rizki.h@outlook.com,4,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-12-15
214,Flat Washer 1,Rafi Aldiansyah,rafi.a@yahoo.com,4,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-08-24
215,Flat Washer 1,Rika Purnama,rika.p@hotmail.com,5,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-01-05
216,Flat Washer 1,Victor Halim,victor.h@yahoo.com,2,Produk cepat rusak setelah pemakaian singkat. Tidak recommended.,2024-08-14
217,Flat Washer 1,Gita Permata,gita.p@hotmail.com,1,Barang tidak sesuai spesifikasi yang tertera. Kecewa!,2024-12-19
218,Flat Washer 1,Tegar Prasetyo,tegar.p@hotmail.com,4,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-07-15
219,Flat Washer 1,Xander Pratama,xander.p@outlook.com,5,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-07-02
220,Flat Washer 1,Jaka Samudra,jaka.s@hotmail.com,5,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-12-03
221,Flat Washer 6,Mansur Wahyudi,mansur.w@gmail.com,5,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-09-11
222,Flat Washer 6,Yoga Pratama,yoga.p@yahoo.com,3,"Biasa saja, tapi harga terjangkau jadi tidak terlalu kecewa.",2024-04-22
223,Flat Washer 6,Rika Purnama,rika.p@hotmail.com,5,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-12-03
224,Flat Washer 6,Xena Putri,xena.p@gmail.com,3,Produk cukup oke untuk harga segini. Tidak ada yang istimewa.,2024-06-07
225,Flat Washer 6,Sari Dewi,sari.d@hotmail.com,5,"Sudah lama cari produk seperti ini, akhirnya ketemu yang tepat.",2024-03-08
226,Flat Washer 6,Nanda Kurnia,nanda.k@hotmail.com,2,Barang tidak sesuai spesifikasi yang tertera. Kecewa!,2024-03-30
227,Flat Washer 6,Mira Handayani,mira.h@hotmail.com,5,"Material berkualitas tinggi, pemasangan mudah. Sangat memuaskan.",2024-09-13
228,Flat Washer 6,Vino Pratama,vino.p@hotmail.com,3,"Cukup fungsional, meski ada beberapa kekurangan minor.",2024-05-31
229,Flat Washer 6,Fira Ramadhani,fira.r@gmail.com,2,Kualitas kontrol perlu ditingkatkan. Produk cacat saat datang.,2024-02-08
230,Flat Washer 6,Fani Wijayanti,fani.w@yahoo.com,3,Material oke tapi proses pemasangan agak tricky.,2024-10-12
231,Flat Washer 2,Indra Setiawan,indra.s@outlook.com,5,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-05-15
232,Flat Washer 2,Elsa Purnama,elsa.p@hotmail.com,5,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-12-10
233,Flat Washer 2,Ulfa Rohmah,ulfa.r@hotmail.com,4,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-12-11
234,Flat Washer 2,Qori Amalia,qori.a@hotmail.com,4,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-04-23
235,Flat Washer 2,Sandro Putra,sandro.p@outlook.com,5,"Sudah lama cari produk seperti ini, akhirnya ketemu yang tepat.",2024-06-03
236,Flat Washer 2,Tasya Maharani,tasya.m@yahoo.com,4,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-01-20
237,Flat Washer 2,Agus Salim,agus.s@gmail.com,1,Produk cepat rusak setelah pemakaian singkat. Tidak recommended.,2024-04-30
238,Flat Washer 2,Elsa Purnama,elsa.p@outlook.com,5,"Produk original, harga worth it. Teman-teman juga ikut beli.",2024-12-09
239,Flat Washer 2,Fira Ramadhani,fira.r@outlook.com,3,"Sesuai deskripsi, tapi ekspektasi saya sedikit lebih tinggi.",2024-07-31
240,Flat Washer 2,Tasya Maharani,tasya.m@outlook.com,5,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-07-27
241,Flat Washer 9,Winda Kurniawati,winda.k@hotmail.com,5,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-08-15
242,Flat Washer 9,Sari Dewi,sari.d@hotmail.com,1,Produk cepat rusak setelah pemakaian singkat. Tidak recommended.,2024-12-17
243,Flat Washer 9,Julia Anggraini,julia.a@hotmail.com,4,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-07-22
244,Flat Washer 9,Winda Kurniawati,winda.k@gmail.com,5,Cocok banget untuk kebutuhan saya. Mantap dan terpercaya!,2024-02-16
245,Flat Washer 9,Udin Setiawan,udin.s@gmail.com,5,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-06-19
246,Flat Washer 9,Salsa Nabila,salsa.n@yahoo.com,1,Produk cepat rusak setelah pemakaian singkat. Tidak recommended.,2024-10-10
247,Flat Washer 9,Niko Santoso,niko.s@yahoo.com,4,"Produk original, harga worth it. Teman-teman juga ikut beli.",2024-03-16
248,Flat Washer 9,Miko Andrianto,miko.a@yahoo.com,5,"Kualitas premium, material terasa solid dan tahan lama. Recommended!",2024-10-03
249,Flat Washer 9,Tegar Prasetyo,tegar.p@gmail.com,3,Produk cukup oke untuk harga segini. Tidak ada yang istimewa.,2024-03-08
250,Flat Washer 9,Dewi Rahayu,dewi.r@yahoo.com,5,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-06-14
251,Flat Washer 4,Andi Pratama,andi.p@gmail.com,5,"Kualitas premium, material terasa solid dan tahan lama. Recommended!",2024-08-03
252,Flat Washer 4,Danu Setiawan,danu.s@gmail.com,5,Cocok banget untuk kebutuhan saya. Mantap dan terpercaya!,2024-08-17
253,Flat Washer 4,Joko Widodo,joko.w@gmail.com,5,Cocok banget untuk kebutuhan saya. Mantap dan terpercaya!,2024-09-14
254,Flat Washer 4,Pandu Wicaksono,pandu.w@gmail.com,2,Pemasangan sangat susah dan hasilnya tidak memuaskan.,2024-08-22
255,Flat Washer 4,Sandro Putra,sandro.p@gmail.com,1,Kualitas kontrol perlu ditingkatkan. Produk cacat saat datang.,2024-07-24
256,Flat Washer 4,Qira Wulandari,qira.w@outlook.com,3,"Cukup fungsional, meski ada beberapa kekurangan minor.",2024-02-07
257,Flat Washer 4,Rizki Hamdani,rizki.h@yahoo.com,5,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-03-05
258,Flat Washer 4,Winda Kurniawati,winda.k@hotmail.com,4,Tidak menyesal beli produk ini. Kualitasnya jauh melebihi ekspektasi.,2024-11-01
259,Flat Washer 4,Danu Setiawan,danu.s@outlook.com,5,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-12-25
260,Flat Washer 4,Bagas Setiawan,bagas.s@yahoo.com,2,Barang tidak sesuai spesifikasi yang tertera. Kecewa!,2024-08-19
261,Flat Washer 3,Qori Amalia,qori.a@outlook.com,4,Tidak menyesal beli produk ini. Kualitasnya jauh melebihi ekspektasi.,2024-07-31
262,Flat Washer 3,Dina Marlina,dina.m@outlook.com,5,"Produk original, harga worth it. Teman-teman juga ikut beli.",2024-12-06
263,Flat Washer 3,Tegar Prasetyo,tegar.p@yahoo.com,5,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-08-30
264,Flat Washer 3,Hendra Wijaya,hendra.w@gmail.com,5,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-08-09
265,Flat Washer 3,Taufik Hidayat,taufik.h@hotmail.com,3,"Sesuai deskripsi, tapi ekspektasi saya sedikit lebih tinggi.",2024-10-11
266,Flat Washer 3,Lina Susanti,lina.s@hotmail.com,4,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-03-03
267,Flat Washer 3,Omar Siddiq,omar.s@outlook.com,5,"Sudah lama cari produk seperti ini, akhirnya ketemu yang tepat.",2024-01-27
268,Flat Washer 3,Yoga Pratama,yoga.p@hotmail.com,4,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-10-22
269,Flat Washer 3,Aldo Pratama,aldo.p@outlook.com,5,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-02-25
270,Flat Washer 3,Gita Permata,gita.p@hotmail.com,3,"Lumayan bagus, tapi ada beberapa hal yang bisa diperbaiki.",2024-05-22
271,Flat Washer 8,Jaka Samudra,jaka.s@outlook.com,5,"Material berkualitas tinggi, pemasangan mudah. Sangat memuaskan.",2024-11-14
272,Flat Washer 8,Oscar Halim,oscar.h@gmail.com,3,"Tidak buruk, tidak terlalu bagus. Cukup untuk kebutuhan.",2024-01-15
273,Flat Washer 8,Kartika Sari,kartika.s@hotmail.com,5,"Produk original, harga worth it. Teman-teman juga ikut beli.",2024-06-28
274,Flat Washer 8,Budi Santoso,budi.s@yahoo.com,5,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-12-02
275,Flat Washer 8,Nela Puspita,nela.p@gmail.com,5,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-09-28
276,Flat Washer 8,Ola Puspita,ola.p@outlook.com,5,"Produk original, harga worth it. Teman-teman juga ikut beli.",2024-03-21
277,Flat Washer 8,Julia Anggraini,julia.a@hotmail.com,5,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-10-17
278,Flat Washer 8,Miko Andrianto,miko.a@gmail.com,5,"Kualitas premium, material terasa solid dan tahan lama. Recommended!",2024-03-21
279,Flat Washer 8,Gema Saputra,gema.s@gmail.com,4,"Sudah pakai 3 bulan, tidak ada masalah sama sekali. Beli lagi!",2024-08-14
280,Flat Washer 8,Udin Setiawan,udin.s@outlook.com,4,Tidak menyesal beli produk ini. Kualitasnya jauh melebihi ekspektasi.,2024-05-19
281,Flat Washer 5,Ola Puspita,ola.p@gmail.com,3,"Biasa saja, tapi harga terjangkau jadi tidak terlalu kecewa.",2024-08-08
282,Flat Washer 5,Bagas Setiawan,bagas.s@outlook.com,5,"Material berkualitas tinggi, pemasangan mudah. Sangat memuaskan.",2024-12-07
283,Flat Washer 5,Bayu Wibowo,bayu.w@outlook.com,5,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-01-29
284,Flat Washer 5,Budi Santoso,budi.s@yahoo.com,5,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-03-11
285,Flat Washer 5,Hendra Kurnia,hendra.k@hotmail.com,5,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-01-04
286,Flat Washer 5,Zulfa Aulia,zulfa.a@yahoo.com,3,"Sesuai deskripsi, tapi ekspektasi saya sedikit lebih tinggi.",2024-07-13
287,Flat Washer 5,Elsa Purnama,elsa.p@hotmail.com,3,"Lumayan bagus, tapi ada beberapa hal yang bisa diperbaiki.",2024-07-22
288,Flat Washer 5,Edo Prasetyo,edo.p@gmail.com,5,Cocok banget untuk kebutuhan saya. Mantap dan terpercaya!,2024-02-09
289,Flat Washer 5,Cici Rahayu,cici.r@outlook.com,4,"Sudah lama cari produk seperti ini, akhirnya ketemu yang tepat.",2024-11-23
290,Flat Washer 5,Pita Sari,pita.s@outlook.com,5,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-06-15
291,Flat Washer 7,Irwan Saputro,irwan.s@outlook.com,3,"Biasa saja, tapi harga terjangkau jadi tidak terlalu kecewa.",2024-02-15
292,Flat Washer 7,Rio Fernanda,rio.f@yahoo.com,3,Material oke tapi proses pemasangan agak tricky.,2024-10-28
293,Flat Washer 7,Nela Puspita,nela.p@outlook.com,4,"Sudah pakai 3 bulan, tidak ada masalah sama sekali. Beli lagi!",2024-06-22
294,Flat Washer 7,Pandu Wicaksono,pandu.w@yahoo.com,5,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-09-18
295,Flat Washer 7,Rika Purnama,rika.p@yahoo.com,5,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-06-27
296,Flat Washer 7,Gita Permata,gita.p@yahoo.com,3,"Kualitas standar, cocok untuk penggunaan sehari-hari biasa.",2024-02-22
297,Flat Washer 7,Fani Wijayanti,fani.w@yahoo.com,5,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-03-19
298,Flat Washer 7,Hendra Kurnia,hendra.k@gmail.com,3,"Sesuai deskripsi, tapi ekspektasi saya sedikit lebih tinggi.",2024-11-17
299,Flat Washer 7,Zulfa Aulia,zulfa.a@outlook.com,4,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-10-16
300,Flat Washer 7,Sandro Putra,sandro.p@hotmail.com,4,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-06-10
301,Fork Crown,Gilang Ramadhan,gilang.r@outlook.com,4,Cocok banget untuk kebutuhan saya. Mantap dan terpercaya!,2024-11-19
302,Fork Crown,Agus Salim,agus.s@gmail.com,3,"Biasa saja, tapi harga terjangkau jadi tidak terlalu kecewa.",2024-09-16
303,Fork Crown,Maya Putri,maya.p@outlook.com,5,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-01-30
304,Fork Crown,Julia Anggraini,julia.a@gmail.com,3,"Lumayan bagus, tapi ada beberapa hal yang bisa diperbaiki.",2024-11-10
305,Fork Crown,Miko Andrianto,miko.a@outlook.com,4,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-10-10
306,Fork Crown,Edo Prasetyo,edo.p@outlook.com,2,"Material terasa murahan, tidak sesuai foto di deskripsi.",2024-06-13
307,Fork Crown,Nina Kartika,nina.k@yahoo.com,4,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-08-18
308,Fork Crown,Yuni Astuti,yuni.a@hotmail.com,3,"Lumayan bagus, tapi ada beberapa hal yang bisa diperbaiki.",2024-09-15
309,Fork Crown,Sandro Putra,sandro.p@yahoo.com,5,"Sudah lama cari produk seperti ini, akhirnya ketemu yang tepat.",2024-08-12
310,Fork Crown,Sari Dewi,sari.d@yahoo.com,4,"Produk original, harga worth it. Teman-teman juga ikut beli.",2024-07-09
311,Front Derailleur Cage,Yoga Pratama,yoga.p@hotmail.com,5,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-11-02
312,Front Derailleur Cage,Fajar Nugroho,fajar.n@hotmail.com,3,"Lumayan bagus, tapi ada beberapa hal yang bisa diperbaiki.",2024-06-17
313,Front Derailleur Cage,Taufik Hidayat,taufik.h@outlook.com,4,"Sudah pakai 3 bulan, tidak ada masalah sama sekali. Beli lagi!",2024-05-09
314,Front Derailleur Cage,Candra Wijaya,candra.w@yahoo.com,2,"Tidak tahan lama, baru dipakai beberapa kali sudah rusak.",2024-02-11
315,Front Derailleur Cage,Kiki Rahmat,kiki.r@hotmail.com,3,"Tidak buruk, tidak terlalu bagus. Cukup untuk kebutuhan.",2024-12-01
316,Front Derailleur Cage,Zaki Mubarak,zaki.m@yahoo.com,3,"Lumayan bagus, tapi ada beberapa hal yang bisa diperbaiki.",2024-06-07
317,Front Derailleur Cage,Hilda Wahyuni,hilda.w@hotmail.com,5,"Kualitas premium, material terasa solid dan tahan lama. Recommended!",2024-12-09
318,Front Derailleur Cage,Zaki Mubarak,zaki.m@gmail.com,3,Material oke tapi proses pemasangan agak tricky.,2024-09-17
319,Front Derailleur Cage,Indra Setiawan,indra.s@hotmail.com,5,"Kualitas premium, material terasa solid dan tahan lama. Recommended!",2024-04-19
320,Front Derailleur Cage,Fahmi Ardiansyah,fahmi.a@outlook.com,2,"Material terasa murahan, tidak sesuai foto di deskripsi.",2024-04-25
321,Front Derailleur Linkage,Eka Saputra,eka.s@hotmail.com,5,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-02-21
322,Front Derailleur Linkage,Aldo Pratama,aldo.p@gmail.com,3,"Biasa saja, tapi harga terjangkau jadi tidak terlalu kecewa.",2024-11-12
323,Front Derailleur Linkage,Doni Firmansyah,doni.f@yahoo.com,4,"Kualitas premium, material terasa solid dan tahan lama. Recommended!",2024-04-02
324,Front Derailleur Linkage,Yola Safitri,yola.s@yahoo.com,3,"Cukup fungsional, meski ada beberapa kekurangan minor.",2024-01-23
325,Front Derailleur Linkage,Omar Siddiq,omar.s@yahoo.com,5,Cocok banget untuk kebutuhan saya. Mantap dan terpercaya!,2024-11-08
326,Front Derailleur Linkage,Yoga Pratama,yoga.p@outlook.com,3,"Kualitas standar, cocok untuk penggunaan sehari-hari biasa.",2024-09-30
327,Front Derailleur Linkage,Rafi Aldiansyah,rafi.a@outlook.com,5,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-07-07
328,Front Derailleur Linkage,Wawan Hermawan,wawan.h@outlook.com,2,Kualitas kontrol perlu ditingkatkan. Produk cacat saat datang.,2024-05-24
329,Front Derailleur Linkage,Joko Widodo,joko.w@outlook.com,5,"Kualitas premium, material terasa solid dan tahan lama. Recommended!",2024-04-12
330,Front Derailleur Linkage,Nina Kartika,nina.k@hotmail.com,5,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-11-24
331,Guide Pulley,Xander Pratama,xander.p@gmail.com,2,Produk cepat rusak setelah pemakaian singkat. Tidak recommended.,2024-05-25
332,Guide Pulley,Rizki Hamdani,rizki.h@hotmail.com,3,"Cukup fungsional, meski ada beberapa kekurangan minor.",2024-09-19
333,Guide Pulley,Fani Wijayanti,fani.w@gmail.com,3,"Kualitas standar, cocok untuk penggunaan sehari-hari biasa.",2024-08-18
334,Guide Pulley,Gita Permata,gita.p@outlook.com,2,"Kecewa dengan kualitasnya, tidak sesuai ekspektasi sama sekali.",2024-07-21
335,Guide Pulley,Aldo Pratama,aldo.p@outlook.com,5,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-07-10
336,Guide Pulley,Pandu Wicaksono,pandu.w@gmail.com,5,"Sudah lama cari produk seperti ini, akhirnya ketemu yang tepat.",2024-11-28
337,Guide Pulley,Evi Susanti,evi.s@yahoo.com,3,Produk cukup oke untuk harga segini. Tidak ada yang istimewa.,2024-05-26
338,Guide Pulley,Wati Susanti,wati.s@yahoo.com,3,"Cukup fungsional, meski ada beberapa kekurangan minor.",2024-08-17
339,Guide Pulley,Oscar Halim,oscar.h@gmail.com,5,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-05-11
340,Guide Pulley,Ola Puspita,ola.p@outlook.com,3,"Lumayan bagus, tapi ada beberapa hal yang bisa diperbaiki.",2024-05-27
341,LL Grip Tape,Rafi Aldiansyah,rafi.a@gmail.com,5,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-08-02
342,LL Grip Tape,Rika Purnama,rika.p@outlook.com,3,"Lumayan bagus, tapi ada beberapa hal yang bisa diperbaiki.",2024-02-26
343,LL Grip Tape,Zulfa Aulia,zulfa.a@gmail.com,4,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-09-20
344,LL Grip Tape,Jaka Samudra,jaka.s@yahoo.com,5,"Sudah pakai 3 bulan, tidak ada masalah sama sekali. Beli lagi!",2024-08-07
345,LL Grip Tape,Budi Santoso,budi.s@yahoo.com,4,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-08-01
346,LL Grip Tape,Kartika Sari,kartika.s@gmail.com,3,"Biasa saja, tapi harga terjangkau jadi tidak terlalu kecewa.",2024-02-04
347,LL Grip Tape,Danu Setiawan,danu.s@gmail.com,4,Tidak menyesal beli produk ini. Kualitasnya jauh melebihi ekspektasi.,2024-08-28
348,LL Grip Tape,Indah Permata,indah.p@hotmail.com,4,"Sudah pakai 3 bulan, tidak ada masalah sama sekali. Beli lagi!",2024-01-09
349,LL Grip Tape,Hafiz Ramadhan,hafiz.r@hotmail.com,3,"Kualitas standar, cocok untuk penggunaan sehari-hari biasa.",2024-12-02
350,LL Grip Tape,Qais Ramadhan,qais.r@hotmail.com,5,"Kualitas premium, material terasa solid dan tahan lama. Recommended!",2024-01-23
351,ML Grip Tape,Hafiz Ramadhan,hafiz.r@yahoo.com,4,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-12-16
352,ML Grip Tape,Victor Halim,victor.h@outlook.com,1,Kualitas jauh di bawah harga yang dipatok. Menyesal beli.,2024-03-10
353,ML Grip Tape,Hendra Wijaya,hendra.w@outlook.com,3,Produk cukup oke untuk harga segini. Tidak ada yang istimewa.,2024-05-30
354,ML Grip Tape,Mira Handayani,mira.h@yahoo.com,5,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-06-10
355,ML Grip Tape,Bayu Wibowo,bayu.w@outlook.com,4,"Sudah pakai 3 bulan, tidak ada masalah sama sekali. Beli lagi!",2024-01-19
356,ML Grip Tape,Gema Saputra,gema.s@hotmail.com,4,"Produk original, harga worth it. Teman-teman juga ikut beli.",2024-01-25
357,ML Grip Tape,Tasya Maharani,tasya.m@gmail.com,5,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-07-07
358,ML Grip Tape,Rio Fernanda,rio.f@outlook.com,2,Barang tidak sesuai spesifikasi yang tertera. Kecewa!,2024-06-22
359,ML Grip Tape,Kartika Sari,kartika.s@outlook.com,4,"Produk original, harga worth it. Teman-teman juga ikut beli.",2024-09-22
360,ML Grip Tape,Vino Pratama,vino.p@outlook.com,3,"Lumayan bagus, tapi ada beberapa hal yang bisa diperbaiki.",2024-08-08
361,HL Grip Tape,Nina Kartika,nina.k@yahoo.com,1,Pemasangan sangat susah dan hasilnya tidak memuaskan.,2024-06-13
362,HL Grip Tape,Yuni Astuti,yuni.a@hotmail.com,5,"Sudah pakai 3 bulan, tidak ada masalah sama sekali. Beli lagi!",2024-08-16
363,HL Grip Tape,Nina Kartika,nina.k@yahoo.com,3,"Cukup fungsional, meski ada beberapa kekurangan minor.",2024-06-28
364,HL Grip Tape,Teguh Prasetyo,teguh.p@hotmail.com,5,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-08-10
365,HL Grip Tape,Winda Kurniawati,winda.k@gmail.com,4,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-12-09
366,HL Grip Tape,Rika Purnama,rika.p@yahoo.com,4,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-03-14
367,HL Grip Tape,Nina Kartika,nina.k@outlook.com,3,Produk cukup oke untuk harga segini. Tidak ada yang istimewa.,2024-03-05
368,HL Grip Tape,Hendra Wijaya,hendra.w@hotmail.com,5,"Produk original, harga worth it. Teman-teman juga ikut beli.",2024-07-15
369,HL Grip Tape,Ivan Kurniawan,ivan.k@yahoo.com,5,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-08-18
370,HL Grip Tape,Julia Anggraini,julia.a@gmail.com,5,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-03-11
371,Thin-Jam Hex Nut 9,Danu Setiawan,danu.s@hotmail.com,5,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-05-22
372,Thin-Jam Hex Nut 9,Salsa Nabila,salsa.n@gmail.com,1,Kualitas jauh di bawah harga yang dipatok. Menyesal beli.,2024-09-12
373,Thin-Jam Hex Nut 9,Cinta Melati,cinta.m@gmail.com,5,"Sudah pakai 3 bulan, tidak ada masalah sama sekali. Beli lagi!",2024-05-13
374,Thin-Jam Hex Nut 9,Aditya Nugraha,aditya.n@hotmail.com,4,"Sudah lama cari produk seperti ini, akhirnya ketemu yang tepat.",2024-09-08
375,Thin-Jam Hex Nut 9,Mira Handayani,mira.h@gmail.com,5,Cocok banget untuk kebutuhan saya. Mantap dan terpercaya!,2024-03-29
376,Thin-Jam Hex Nut 9,Bella Anggraini,bella.a@gmail.com,4,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-12-15
377,Thin-Jam Hex Nut 9,Cici Rahayu,cici.r@gmail.com,3,"Tidak buruk, tidak terlalu bagus. Cukup untuk kebutuhan.",2024-06-02
378,Thin-Jam Hex Nut 9,Hani Pertiwi,hani.p@yahoo.com,3,"Biasa saja, tapi harga terjangkau jadi tidak terlalu kecewa.",2024-09-17
379,Thin-Jam Hex Nut 9,Pandu Wicaksono,pandu.w@yahoo.com,5,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-03-12
380,Thin-Jam Hex Nut 9,Rafi Aldiansyah,rafi.a@gmail.com,3,"Biasa saja, tapi harga terjangkau jadi tidak terlalu kecewa.",2024-10-10
381,Thin-Jam Hex Nut 10,Jaka Samudra,jaka.s@yahoo.com,5,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-02-14
